id,lead_fname,lead_email,lead_phone,lead_pincode,partner_access_id,timestamp,order_id,invoice_url,order_status,order_delivery_date,api_method,flag,error_status
168,Jasmine,dmaggio@crona.com,+91 79798 03271,110062,GKMNO4,2019-11-01 00:01:04 UTC,GSS169,f,transit,17-Aug-21,waead,yes,yes
169,Katrina,colin.harvey@hotmail.com,+91 88475 81717,110091,WNBR20,2019-11-01 00:01:04 UTC,GSS170,e,delivered,13-Aug-21,waw,no,yes
170,Christopher,hstiedemann@kunze.info,+91 81674 33007,530007,TNLMAD,2019-11-01 00:01:05 UTC,GSS171,a,pending,16-Aug-21,awdzx,yes,no
171,Alyssa,elisha.hermiston@wyman.biz,+91 61279 37842,560102,B3PTVY,2019-11-01 00:01:06 UTC,GSS172,a,transit,20-Aug-21,afas,yes,no
172,Jordan,jerad81@gmail.com,+91 61280 24091,110034,YA0ZAB,2019-11-01 00:01:07 UTC,GSS173,b,delivered,13-Aug-21,awefaw,no,yes
173,Andrew,diego38@greenholt.org,+91 74778 76553,411046,PEX04A,2019-11-01 00:01:08 UTC,GSS174,c,pending,18-Aug-21,waead,no,yes
174,Gabriel,terrance04@eichmann.com,+91 61279 82545,402309,GBDUW2,2019-11-01 00:01:09 UTC,GSS175,a,transit,15-Aug-21,waw,no,no
175,Johnny,gmayer@yahoo.com,+91 72870 05321,630003,I8ZYJP,2019-11-01 00:01:09 UTC,GSS176,f,delivered,19-Aug-21,awdzx,no,yes
176,Alyssa,murray.devin@pfannerstill.com,+91 61279 38835,394651,6L7SXV,2019-11-01 00:01:10 UTC,GSS177,g,pending,17-Aug-21,afas,yes,yes
177,Timothy,clement14@yahoo.com,+91 61279 18929,400019,2UIAEM,2019-11-01 00:01:10 UTC,GSS178,s,transit,14-Aug-21,awefaw,no,no
178,Julia,ferry.fiona@hotmail.com,+91 89176 70518,500068,IRQP88,2019-11-01 00:01:10 UTC,GSS179,f,delivered,14-Aug-21,waead,yes,no
179,Maurice,pagac.deja@jenkins.com,+91 96919 58029,560066,MFE880,2019-11-01 00:01:10 UTC,GSS180,e,pending,18-Aug-21,waw,yes,yes
180,Leslie,hobart.denesik@yahoo.com,+91 72868 73154,110092,1A6BLV,2019-11-01 00:01:11 UTC,GSS181,a,transit,18-Aug-21,awdzx,no,yes
181,Keith,gretchen04@wyman.com,+91 61279 70034,621216,B7RM21,2019-11-01 00:01:11 UTC,GSS182,a,delivered,23-Aug-21,afas,no,no
182,David,torp.angeline@gmail.com,+91 67100 28636,421302,A58PF5,2019-11-01 00:01:11 UTC,GSS183,b,pending,11-Aug-21,awefaw,no,yes
183,Shelley,nasir30@crona.org,+91 79313 90651,673571,UQHDL5,2019-11-01 00:01:11 UTC,GSS184,c,transit,26-Aug-21,waead,no,yes
184,Kathleen,lmcdermott@ernser.com,+91 788 776 3903,400610,LI6TRA,2019-11-01 00:01:12 UTC,GSS185,a,delivered,11-Aug-21,waw,yes,no
185,Lisa,marquardt.richmond@gmail.com,+91 63848 64589,800007,DK4228,2019-11-01 00:01:12 UTC,GSS186,f,pending,12-Aug-21,awdzx,no,no
186,James,klegros@schuster.com,+91 65429 98067,380015,I5GJOT,2019-11-01 00:01:12 UTC,GSS187,g,transit,12-Aug-21,afas,yes,yes
187,Stephen,alexanne57@yahoo.com,+91 79799 03328,206001,GWVB94,2019-11-01 00:01:13 UTC,GSS188,s,delivered,16-Aug-21,awefaw,yes,yes
188,Sharon,clotilde.quitzon@schuster.com,+91 61279 03106,484661,IX9KPD,2019-11-01 00:01:14 UTC,GSS189,f,pending,18-Aug-21,waead,no,no
189,Christopher,florian.okon@hotmail.com,+91 72678 76773,560074,3GRBM3,2019-11-01 00:01:16 UTC,GSS190,e,transit,14-Aug-21,waw,no,yes
190,Mary,schuster.cheyenne@hotmail.com,+91 61279 94689,741402,OVY61M,2019-11-01 00:01:16 UTC,GSS191,a,delivered,16-Aug-21,awdzx,no,yes
191,Robert,ybradtke@gmail.com,+91 71924 97746,121010,LQPNH2,2019-11-01 00:01:17 UTC,GSS192,a,pending,13-Aug-21,afas,no,no
192,Cynthia,mitchell.branson@hintz.com,+91 61279 93280,682015,8IXGL6,2019-11-01 00:01:17 UTC,GSS193,b,transit,15-Aug-21,awefaw,yes,no
193,Deborah,cklein@yahoo.com,+91 63499 82464,110075,226CBC,2019-11-01 00:01:18 UTC,GSS194,c,delivered,12-Aug-21,waead,no,yes
194,Diane,shanon43@gmail.com,+91 61279 47992,411060,HB90LH,2019-11-01 00:01:18 UTC,GSS195,a,pending,15-Aug-21,waw,yes,yes
195,Jessica,rflatley@yahoo.com,+91 72843 10909,500084,BFKWMH,2019-11-01 00:01:20 UTC,GSS196,f,transit,12-Aug-21,awdzx,yes,no
196,Gregory,kohler.maudie@schmidt.net,+91 80678 88247,400019,LE5QUG,2019-11-01 00:01:20 UTC,GSS197,g,delivered,13-Aug-21,afas,no,yes
197,Reginald,kariane.gutkowski@stanton.com,+91 61202 91459,122001,A7TWAO,2019-11-01 00:01:20 UTC,GSS198,s,pending,12-Aug-21,awefaw,no,yes
198,Anthony,mariane65@gmail.com,+91 72880 99774,603103,NAHSL2,2019-11-01 00:01:21 UTC,GSS199,f,transit,12-Aug-21,waead,no,no
199,Samuel,rcassin@yahoo.com,+91 74475 86156,400080,QKS1B1,2019-11-01 00:01:21 UTC,GSS200,e,delivered,12-Aug-21,waw,no,no
200,Craig,torp.charles@lindgren.com,+91 61279 38093,110075,HH82SC,2019-11-01 00:01:21 UTC,GSS201,a,pending,12-Aug-21,awdzx,yes,yes
201,Christopher,xwalter@collier.com,+91 89177 55653,500075,4HE0I4,2019-11-01 00:01:22 UTC,GSS202,a,transit,12-Aug-21,afas,no,yes
